name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(60, 2, 52)-(60, 10, 46)"	14.783629	46.957428	1.005511	127	52	#69ff7fffffffffffff97	2	"(60, 2, 52)-(67, 10, 49)"	0.528732	0.92831	2	NA	1.64755589
"(59, 15, 44)-(60, 10, 46)"	7.089289	43.826932	1.402795	187	117	#80ff7fffffffffffff80	1	"(60, 2, 52)-(60, 10, 46)"	1.395107	0.479536	0	NA	NA
"(59, 3, 42)-(60, 10, 46)"	11.927093	42.574734	1.065942	152	84	#ff00cd	1	"(60, 2, 52)-(60, 10, 46)"	1.060101	0.806777	0	NA	NA
"(59, 1, 53)-(60, 2, 52)"	1.48324	1.252198	0.518389	2	0	#0016ff	3	"(60, 2, 52)-(67, 10, 49)"	0.272587	0.093137	2	NA	NA
"(59, 1, 53)-(59, 3, 54)"	2.061405	4.382693	0.822648	23	16	#8aff7fffffffffffff76	1	"(59, 1, 53)-(60, 2, 52)"	1.586931	1.389799	0	NA	NA
"(58, 2, 52)-(59, 1, 53)"	1.48324	1.252198	0.518389	2	0	#00ff02	2	"(59, 1, 53)-(60, 2, 52)"	1	1	2	NA	NA
"(55, 12, 51)-(58, 2, 52)"	12.441847	58.22721	1.220522	221	128	#b5ff7fffffffffffff4b	1	"(58, 2, 52)-(59, 1, 53)"	2.354451	8.388292	0	NA	NA
"(55, 4, 44)-(58, 2, 52)"	12.263002	53.218418	1.175324	150	65	#ff987ffffffffffffe9b	1	"(58, 2, 52)-(59, 1, 53)"	2.267262	8.267714	0	NA	NA
"(63, 21, 54)-(67, 23, 49)"	6.816739	87.027766	2.015885	270	131	#ad00ff	1	"(67, 23, 49)-(67, 58, 52)"	0.932226	0.158676	0	NA	NA
"(63, 37, 54)-(67, 58, 52)"	28.729957	320.562705	1.884578	627	115	#ff6d7ffffffffffffe70	1	"(67, 58, 52)-(67, 84, 58)"	0.651739	0.927926	0	NA	NA
