name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(34, 124, 60)-(35, 124, 62)"	2.707985	10.017585	1.085134	17	1	#00ff04	3	"(35, 62, 55)-(35, 124, 62)"	0.342176	0.037583	3	NA	NA
"(31, 127, 62)-(34, 124, 60)"	4.727861	16.904674	1.066832	32	5	#00adff	1	"(34, 124, 60)-(35, 124, 62)"	0.983134	1.745896	0	NA	NA
"(31, 127, 56)-(34, 124, 60)"	8.272505	118.958816	2.139463	653	463	#00a1ff	1	"(34, 124, 60)-(35, 124, 62)"	1.971612	3.054857	0	NA	NA
"(28, 127, 57)-(34, 124, 60)"	17.874055	180.942621	1.795081	748	459	#ffb47ffffffffffffeb7	1	"(34, 124, 60)-(35, 124, 62)"	1.654247	6.600501	0	NA	NA
"(31, 127, 64)-(35, 124, 62)"	6.169571	35.687645	1.356927	89	32	#001aff	1	"(35, 62, 55)-(35, 124, 62)"	0.427881	0.085626	0	NA	NA
"(25, 125, 48)-(34, 66, 61)"	89.751863	806.415555	1.691153	2944	1656	#ff7e7ffffffffffffe81	2	"(34, 66, 61)-(35, 50, 62)"	0.886946	4.510396	2	2.532544666	NA
"(25, 125, 48)-(25, 127, 36)"	11.393762	30.678853	0.925787	97	48	#28ff7fffffffffffffd8	1	"(25, 125, 48)-(34, 66, 61)"	0.54743	0.126947	0	NA	NA
"(23, 27, 44)-(25, 125, 48)"	107.656332	797.02407	1.535115	5534	4261	#0081ff	1	"(25, 125, 48)-(34, 66, 61)"	0.907733	1.199489	0	NA	NA
"(31, 49, 58)-(35, 50, 62)"	6.252629	36.313744	1.359657	114	56	#ff00bd	38	"(35, 50, 62)-(41, 47, 60)"	0.933041	0.569431	2	NA	NA
"(28, 36, 51)-(31, 49, 58)"	19.981992	112.697826	1.339872	421	241	#ffe37ffffffffffffee6	4	"(31, 49, 58)-(35, 50, 62)"	0.985449	3.195774	2	10.21005302	NA
"(28, 0, 51)-(28, 36, 51)"	46.237222	217.256365	1.222969	774	427	#00ff44	1	"(28, 36, 51)-(31, 49, 58)"	0.91275	2.313945	0	NA	NA
"(24, 4, 54)-(28, 36, 51)"	42.365668	216.630266	1.275785	923	577	#ff004e	3	"(28, 36, 51)-(31, 49, 58)"	0.952169	2.120192	2	1.025939089	0.220378375
"(24, 4, 54)-(25, 2, 56)"	2.707985	4.382693	0.717749	9	2	#46ff7fffffffffffffba	2	"(24, 4, 54)-(28, 36, 51)"	0.562594	0.063919	2	NA	NA
"(23, 2, 56)-(25, 2, 56)"	2.966479	6.887089	0.859651	14	3	#00f1ff	1	"(24, 4, 54)-(25, 2, 56)"	1.197705	1.095457	0	NA	NA
"(23, 0, 58)-(25, 2, 56)"	6.599185	41.948635	1.422456	311	244	#fff87ffffffffffffefb	1	"(24, 4, 54)-(25, 2, 56)"	1.98183	2.436936	0	NA	NA
"(23, 3, 54)-(24, 4, 54)"	1.183216	1.252198	0.580403	2	0	#6fff7fffffffffffff91	1	"(24, 4, 54)-(28, 36, 51)"	0.454938	0.027929	0	NA	NA
"(19, 85, 56)-(31, 49, 58)"	68.1669	993.619166	2.154013	3219	1632	#3f00ff	34	"(31, 49, 58)-(35, 50, 62)"	1.584233	10.902118	2	NA	NA
"(19, 16, 49)-(19, 85, 56)"	82.28148	1678.571509	2.548261	5232	2551	#0015ff	18	"(19, 85, 56)-(31, 49, 58)"	1.18303	1.207059	2	1.087041881	0.330761686
"(18, 14, 48)-(19, 16, 49)"	2.3199	4.382693	0.775463	9	2	#fdff7fffffffffffff03	17	"(19, 16, 49)-(19, 85, 56)"	0.304311	0.028195	2	NA	NA
"(18, 14, 48)-(21, 14, 41)"	9.596546	38.192041	1.125522	112	51	#5900ff	14	"(18, 14, 48)-(19, 16, 49)"	1.45142	4.136621	2	2.061940811	0.912531361
"(20, 13, 36)-(21, 14, 41)"	6.382219	16.904674	0.918211	48	21	#ff0054	13	"(18, 14, 48)-(21, 14, 41)"	0.815809	0.665054	3	NA	NA
"(20, 13, 36)-(29, 14, 36)"	10.64394	43.200833	1.136632	118	49	#00a8ff	6	"(20, 13, 36)-(21, 14, 41)"	1.237876	1.667749	2	2.675373143	1.772979357
"(29, 14, 36)-(29, 18, 38)"	5.415969	12.521981	0.857874	44	24	#ff0010	4	"(20, 13, 36)-(29, 14, 36)"	0.754751	0.508831	2	NA	NA
"(28, 29, 42)-(29, 18, 38)"	17.982403	67.618696	1.094044	308	200	#00a0ff	2	"(29, 14, 36)-(29, 18, 38)"	1.275296	3.320256	2	3.589477239	0.335356451
"(27, 29, 44)-(28, 29, 42)"	3.891201	13.774179	1.061491	56	34	#ff907ffffffffffffe93	1	"(28, 29, 42)-(29, 18, 38)"	0.970245	0.216389	0	NA	NA
"(27, 28, 42)-(28, 29, 42)"	1.183216	1.252198	0.580403	2	0	#ff0011	1	"(28, 29, 42)-(29, 18, 38)"	0.530512	0.065799	0	NA	NA
"(28, 17, 39)-(29, 18, 38)"	1.48324	1.252198	0.518389	2	0	#fff57ffffffffffffef8	2	"(29, 14, 36)-(29, 18, 38)"	0.604272	0.273864	2	NA	NA
"(27, 16, 39)-(28, 17, 39)"	1.183216	1.252198	0.580403	2	0	#ff6f7ffffffffffffe72	1	"(28, 17, 39)-(29, 18, 38)"	1.119628	0.797724	0	NA	NA
"(27, 14, 42)-(28, 17, 39)"	7.493612	18.782971	0.893226	88	58	#00ff2f	1	"(28, 17, 39)-(29, 18, 38)"	1.723081	5.052192	0	NA	NA
"(29, 7, 38)-(29, 14, 36)"	8.691472	21.913466	0.895847	82	47	#ffa07ffffffffffffea3	2	"(20, 13, 36)-(29, 14, 36)"	0.788159	0.816565	2	NA	2.687442915
"(27, 6, 39)-(29, 7, 38)"	3.503116	5.008792	0.674628	18	10	#005fff	1	"(29, 7, 38)-(29, 14, 36)"	0.753061	0.403052	0	NA	NA
"(27, 2, 39)-(29, 7, 38)"	8.402095	40.696437	1.241679	162	97	#ff00d5	1	"(29, 7, 38)-(29, 14, 36)"	1.386039	0.966706	0	NA	NA
"(19, 11, 35)-(20, 13, 36)"	2.3199	3.130495	0.655386	5	0	#00c2ff	6	"(20, 13, 36)-(21, 14, 41)"	0.713764	0.363494	2	NA	NA
"(19, 8, 35)-(19, 11, 35)"	3.803139	10.643684	0.943843	24	7	#ff00c9	2	"(19, 11, 35)-(20, 13, 36)"	1.440134	1.639355	2	NA	NA
"(19, 8, 35)-(23, 2, 39)"	13.605416	58.853309	1.173423	151	57	#0037ff	1	"(19, 8, 35)-(19, 11, 35)"	1.243239	3.577417	0	NA	NA
"(19, 8, 35)-(19, 8, 39)"	7.69434	31.931051	1.149333	105	54	#00baff	1	"(19, 8, 35)-(19, 11, 35)"	1.217716	2.023155	0	NA	NA
"(14, 11, 35)-(19, 11, 35)"	6.257632	15.652476	0.892301	30	5	#ff777ffffffffffffe7a	4	"(19, 11, 35)-(20, 13, 36)"	1.36149	2.697372	2	NA	NA
"(13, 21, 36)-(14, 11, 35)"	12.634848	40.070338	1.004735	142	78	#00ffdc	3	"(14, 11, 35)-(19, 11, 35)"	1.126004	2.01911	2	2.413752027	0.542724186
"(13, 21, 36)-(13, 25, 36)"	4.12281	6.887089	0.729199	13	2	#ff00a9	2	"(13, 21, 36)-(14, 11, 35)"	0.725763	0.326305	2	NA	NA
"(11, 27, 42)-(13, 25, 36)"	10.650172	36.313744	1.041795	224	166	#4eff7fffffffffffffb2	1	"(13, 21, 36)-(13, 25, 36)"	1.428683	2.583231	0	NA	NA
"(11, 23, 34)-(13, 25, 36)"	2.966479	5.634891	0.777584	10	1	#31ff7fffffffffffffcf	1	"(13, 21, 36)-(13, 25, 36)"	1.066353	0.719529	0	NA	NA
"(11, 19, 34)-(13, 21, 36)"	2.966479	5.634891	0.777584	9	0	#5fff7fffffffffffffa1	1	"(13, 21, 36)-(14, 11, 35)"	0.773919	0.234786	0	NA	NA
"(11, 4, 34)-(14, 11, 35)"	8.66059	28.174457	1.017605	69	24	#ffbe7ffffffffffffec1	1	"(14, 11, 35)-(19, 11, 35)"	1.140427	1.384004	0	NA	NA
"(15, 22, 42)-(20, 13, 36)"	38.05965	187.82971	1.253357	646	346	#00ffb7	1	"(20, 13, 36)-(21, 14, 41)"	1.364999	5.963388	0	NA	NA
"(19, 14, 42)-(21, 14, 41)"	2.666456	3.756594	0.669661	17	11	#9000ff	1	"(18, 14, 48)-(21, 14, 41)"	0.594978	0.277856	0	NA	NA
"(18, 4, 50)-(18, 14, 48)"	13.627299	133.359094	1.764946	265	52	#00a7ff	3	"(18, 14, 48)-(19, 16, 49)"	2.275991	5.87409	2	2.042342219	NA
