 name	 vol(cu.um)	 len(um)	 <r>_vl(um)	 <r>_obs(um)	 par	 num_child	 children...		
19.03	1.04533	0.5	0.815769	0	15	0			
16.03	181.888	25.1746	1.51651	1.86004	11	1	17.03		
17.03	275.968	33.771	1.61281	1.36493	16	0			
12.03	189.728	13.4888	2.11594	1.56928	9	0			
10.03	258.197	55.9611	1.21187	1.1133	6	2	13.03	14.03	
13.03	1.04533	0.5	0.815769	0	10	0			
14.03	16.7253	8.8172	0.777047	0.233333	10	0			
2.03	577.024	53.1215	1.85946	1.80736	4	2	0.03	1.03	
0.03	250.88	48.3859	1.28469	1.04282	2	0			
1.03	172.48	39.7363	1.17544	0.956945	2	0			
7.03	128.576	13.3427	1.75139	1.74934	8	0			
6.04	953.344	37.1841	2.85674	2.5077	N/A	2	3.04	7.04	
3.04	388.864	10.0314	3.51271	2.97028	6	3	1.04	0.04	2.04
1.04	68.992	14.6888	1.22273	1.32264	3	0			
0.04	72.128	4.67161	2.21689	2.12389	3	0			
2.04	257.152	6.49117	3.55106	2.64976	3	2	4.04	5.04	
4.04	64.288	8.19764	1.57996	1.65736	2	0			
5.04	305.76	18.5355	2.29146	2.02968	2	2	8.04	9.04	
8.04	172.48	39.7836	1.17474	1.35596	5	0			
9.04	25.088	7.05206	1.06414	0.669975	5	0			
7.04	163.072	17.9746	1.69936	1.92033	6	0			
4.5	206.976	15.2687	2.07723	2.01661	N/A	2	3.5	1.5	
3.5	785.568	23.009	3.29662	2.68846	4	2	5.5	6.5	
5.5	122.304	13.9912	1.66808	1.65994	3	0			
6.5	42.336	4.67161	1.69843	1.65704	3	0			
1.5	740.096	22.6883	3.22232	2.68137	4	2	0.5	2.5	
0.5	15.68	1.9799	1.58773	1.45393	1	0			
2.5	34.496	6.07161	1.3448	1.12055	1	0			
2.6	426.496	32.357	2.04832	2.61134	N/A	2	0.6	1.6	
0.6	768.32	51.4836	2.17952	1.92373	2	0			
1.6	420.224	52.5462	1.59549	1.40981	2	0			
1.7	4.68E-154	0.5	1.73E-77	-2.68E+154	N/A	0			
